Route ID,Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Equipment
138,2N,3652,ARN,737,OER,722,,ATR
139,2N,3652,ARN,737,POR,448,,SF3
140,2N,3652,ARN,737,TRF,664,,SF3
141,2N,3652,ARN,737,VBY,746,,SF3 ATP
142,2N,3652,ARN,737,VHM,729,,SF3
143,2N,3652,ARN,737,VXO,711,,SF3
144,2N,3652,GEV,715,ARN,737,,ATP
145,2N,3652,GEV,715,KRF,718,,ATP
146,2N,3652,HAD,709,ARN,737,,SF3 ATP
147,2N,3652,HAD,709,JKG,688,,ATP SF3
148,2N,3652,HAD,709,VXO,711,,SF3
149,2N,3652,HMV,5599,VHM,729,,SF3
150,2N,3652,JKG,688,ARN,737,,ATP SF3
151,2N,3652,JKG,688,HAD,709,,ATP SF3
152,2N,3652,KOK,435,POR,448,,SF3
153,2N,3652,KRF,718,ARN,737,,ATP
154,2N,3652,KRF,718,GEV,715,,ATP
155,2N,3652,KSD,5595,ARN,737,,SF3
156,2N,3652,LYC,719,AJR,730,,ATP
157,2N,3652,LYC,719,ARN,737,,ATP
158,2N,3652,MHQ,442,ARN,737,,SF3
159,2N,3652,MHQ,442,TKU,460,,SF3
160,2N,3652,OER,722,ARN,737,,ATR
161,2N,3652,OSL,644,VXO,711,,SF3
162,2N,3652,POR,448,ARN,737,,SF3
163,2N,3652,POR,448,KOK,435,,SF3
164,2N,3652,TKU,460,MHQ,442,,SF3
165,2N,3652,TRF,664,ARN,737,,SF3
166,2N,3652,VBY,746,ARN,737,,SF3 ATP
167,2N,3652,VHM,729,ARN,737,,SF3
168,2N,3652,VHM,729,HMV,5599,,SF3
169,2N,3652,VXO,711,ARN,737,,SF3
170,2N,3652,VXO,711,OSL,644,,SF3
171,2O,146,ADQ,3531,KLN,7162,,BNI
172,2O,146,KLN,7162,KYK,7161,,BNI
173,2P,897,BSO,6019,MNL,2397,,DH4
174,2P,897,BXU,4200,MNL,2397,,320
175,2P,897,CBO,2399,MNL,2397,,320
176,2P,897,CGY,2400,MNL,2397,,320
177,2P,897,CRM,6024,MNL,2397,,DH4
178,2P,897,DGT,2425,MNL,2397,,320
179,2P,897,DWC,8076,MNL,2397,,330
180,2P,897,GES,2402,MNL,2397,Y,320
181,2P,897,KLO,2430,MNL,2397,,320
182,2P,897,LGP,4203,MNL,2397,,320
183,2P,897,MNL,2397,BSO,6019,,DH4
184,2P,897,MNL,2397,BXU,4200,,320
185,2P,897,MNL,2397,CBO,2399,,320
186,2P,897,MNL,2397,CGY,2400,,320
187,2P,897,MNL,2397,CRM,6024,,DH4
188,2P,897,MNL,2397,DGT,2425,,320
189,2P,897,MNL,2397,DWC,8076,,330
190,2P,897,MNL,2397,GES,2402,Y,320
191,2P,897,MNL,2397,KLO,2430,,320
192,2P,897,MNL,2397,LGP,4203,,320
193,2P,897,MNL,2397,MPH,2426,,DH3
194,2P,897,MNL,2397,OZC,4204,,320
195,2P,897,MNL,2397,PPS,2433,,320
196,2P,897,MNL,2397,RXS,6026,,320
197,2P,897,MNL,2397,SUG,6016,,DH4
198,2P,897,MNL,2397,TUG,6021,,DH4
199,2P,897,MNL,2397,ZAM,2404,,320
200,2P,897,MPH,2426,MNL,2397,,DH3
201,2P,897,OZC,4204,MNL,2397,,320
202,2P,897,PPS,2433,MNL,2397,,320
203,2P,897,RXS,6026,MNL,2397,,320
204,2P,897,SUG,6016,MNL,2397,,DH4
205,2P,897,TUG,6021,MNL,2397,,DH4
206,2P,897,ZAM,2404,MNL,2397,,320
207,2Z,1729,AUX,7376,PMW,4214,,AT7
208,2Z,1729,BRA,7373,BSB,2531,,AT7
209,2Z,1729,BRA,7373,SSA,2621,,AT7
210,2Z,1729,BSB,2531,BRA,7373,,AT7
211,2Z,1729,BSB,2531,OPS,7367,,AT7
212,2Z,1729,BSB,2531,RAO,2613,,AT7
213,2Z,1729,CAC,2535,GRU,2564,,AT7
214,2Z,1729,CGB,2548,GYN,2562,,AT7
215,2Z,1729,CGB,2548,OPS,7367,,AT7
216,2Z,1729,CGR,2538,DOU,7380,,AT7
217,2Z,1729,DOU,7380,CGR,2538,,AT7
218,2Z,1729,DOU,7380,GRU,2564,,AT7
219,2Z,1729,GIG,2560,RAO,2613,,AT7
220,2Z,1729,GRU,2564,CAC,2535,,AT7
221,2Z,1729,GRU,2564,DOU,7380,,AT7
222,2Z,1729,GRU,2564,RAO,2613,,AT7
223,2Z,1729,GRU,2564,UBA,2635,,AT7
224,2Z,1729,GRU,2564,UDI,2633,,AT7
225,2Z,1729,GRU,2564,VDC,6039,,AT7
226,2Z,1729,GYN,2562,CGB,2548,,AT7
227,2Z,1729,GYN,2562,PMW,4214,,AT7
228,2Z,1729,GYN,2562,RAO,2613,,AT7
229,2Z,1729,GYN,2562,UDI,2633,,AT7
230,2Z,1729,OPS,7367,BSB,2531,,AT7
231,2Z,1729,OPS,7367,CGB,2548,,AT7
232,2Z,1729,PLU,2528,RAO,2613,,AT7
233,2Z,1729,PMW,4214,AUX,7376,,AT7
234,2Z,1729,PMW,4214,GYN,2562,,AT7
235,2Z,1729,RAO,2613,BSB,2531,,AT7
236,2Z,1729,RAO,2613,GIG,2560,,AT7
237,2Z,1729,RAO,2613,GRU,2564,,AT7
238,2Z,1729,RAO,2613,GYN,2562,,AT7
239,2Z,1729,RAO,2613,PLU,2528,,AT7
240,2Z,1729,RAO,2613,SJP,2619,,AT7
241,2Z,1729,RAO,2613,UDI,2633,,AT7
242,2Z,1729,SJP,2619,RAO,2613,,AT7
243,2Z,1729,SSA,2621,BRA,7373,,AT7
244,2Z,1729,SSA,2621,VDC,6039,,AT7
245,2Z,1729,UBA,2635,GRU,2564,,AT7
246,2Z,1729,UBA,2635,UDI,2633,,AT7
247,2Z,1729,UDI,2633,GRU,2564,,AT7
248,2Z,1729,UDI,2633,GYN,2562,,AT7
249,2Z,1729,UDI,2633,RAO,2613,,AT7
250,2Z,1729,UDI,2633,UBA,2635,,AT7
251,2Z,1729,VDC,6039,GRU,2564,,AT7
252,2Z,1729,VDC,6039,SSA,2621,,AT7
253,3E,10739,BRL,5726,ORD,3830,,CNC
254,3E,10739,BRL,5726,STL,3678,,CNC
255,3E,10739,DEC,4042,ORD,3830,,CNC
256,3E,10739,DEC,4042,STL,3678,,CNC
257,3E,10739,JBR,3591,STL,3678,,CNC
258,3E,10739,ORD,3830,BRL,5726,,CNC
259,3E,10739,ORD,3830,DEC,4042,,CNC
260,3E,10739,STL,3678,BRL,5726,,CNC
261,3E,10739,STL,3678,DEC,4042,,CNC
262,3E,10739,STL,3678,JBR,3591,,CNC
263,3F,16262,KTN,3808,MTM,7146,,DHP
264,3F,16262,MTM,7146,KTN,3808,,DHP
265,3G,595,ACC,248,DKR,1084,,319
266,3G,595,ACC,248,LOS,273,,319
267,3G,595,ACC,248,ROB,1063,,319
268,3G,595,BCN,1218,BJL,1050,,319
269,3G,595,BJL,1050,BCN,1218,,319
270,3G,595,BJL,1050,DKR,1084,,319
271,3G,595,BJL,1050,FNA,1059,,319
272,3G,595,CKY,4162,OXB,5665,,319
273,3G,595,DKR,1084,ACC,248,,319
274,3G,595,DKR,1084,BJL,1050,,319
275,3G,595,DKR,1084,DLA,897,,319
276,3G,595,DKR,1084,FNA,1059,,319
277,3G,595,DKR,1084,LOS,273,,319
278,3G,595,DKR,1084,OXB,5665,,319
279,3G,595,DLA,897,DKR,1084,,319
280,3G,595,DLA,897,LOS,273,,319
281,3G,595,FNA,1059,BJL,1050,,319
282,3G,595,FNA,1059,DKR,1084,,319
283,3G,595,FNA,1059,LGW,502,,319
284,3G,595,FNA,1059,ROB,1063,,319
285,3G,595,LGW,502,FNA,1059,,319
286,3G,595,LOS,273,ACC,248,,319
287,3G,595,LOS,273,DKR,1084,,319
288,3G,595,LOS,273,DLA,897,,319
289,3G,595,LOS,273,ROB,1063,,319
290,3G,595,OXB,5665,CKY,4162,,319
291,3G,595,OXB,5665,DKR,1084,,319
292,3G,595,ROB,1063,ACC,248,,319
293,3G,595,ROB,1063,FNA,1059,,319
294,3G,595,ROB,1063,LOS,273,,319
295,3H,\N,AKV,5506,YIK,5504,,DH8
296,3H,\N,AKV,5506,YPX,6727,,DH8
297,3H,\N,XGR,5512,YVP,154,,DHT BET
298,3H,\N,YGL,62,YGW,5496,,DHT
299,3H,\N,YGL,62,YPX,6727,,73M
300,3H,\N,YGL,62,YUL,146,,73M
301,3H,\N,YGW,5496,YGL,62,,DHT
302,3H,\N,YGW,5496,YPH,5520,,BET
303,3H,\N,YGW,5496,YSK,5529,,DH8
304,3H,\N,YGW,5496,YUD,5515,,DH8
305,3H,\N,YGW,5496,YUL,146,,DH8
306,3H,\N,YGW,5496,YUY,149,,DH8
307,3H,\N,YIK,5504,AKV,5506,,DH8
308,3H,\N,YIK,5504,YZG,5535,,DH8
309,3H,\N,YKG,5481,YPJ,5508,,DHT DH8
310,3H,\N,YKG,5481,YQC,5499,,DH8
311,3H,\N,YKG,5481,YVP,154,,DH8 DHT
312,3H,\N,YKL,80,YQB,111,,DH8
313,3H,\N,YKL,80,YVP,154,,DH8 BET
314,3H,\N,YKL,80,YWK,161,,BET
315,3H,\N,YKL,80,YZV,202,,BET DH8
316,3H,\N,YPH,5520,YPX,6727,,DH8 BET
317,3H,\N,YPH,5520,YUD,5515,,DH8
318,3H,\N,YPH,5520,YVP,154,,BET
319,3H,\N,YPJ,5508,YKG,5481,,DHT DH8
320,3H,\N,YPJ,5508,YTQ,6728,,DHT DH8
321,3H,\N,YPJ,5508,YVP,154,,DHT
322,3H,\N,YPX,6727,AKV,5506,,DH8
323,3H,\N,YPX,6727,YGL,62,,73M
324,3H,\N,YPX,6727,YPH,5520,,DH8
325,3H,\N,YPX,6727,YVP,154,,BET
326,3H,\N,YQB,111,YKL,80,,DH8
327,3H,\N,YQB,111,YUL,146,,DH8
328,3H,\N,YQC,5499,YKG,5481,,DH8
329,3H,\N,YQC,5499,YWB,7253,,DH8
330,3H,\N,YSK,5529,YGW,5496,,DH8
331,3H,\N,YSK,5529,YUD,5515,,DH8
332,3H,\N,YTQ,6728,YPJ,5508,,DHT DH8
333,3H,\N,YTQ,6728,YVP,154,,DHT DH8
334,3H,\N,YUD,5515,YGW,5496,,DH8
335,3H,\N,YUD,5515,YPH,5520,,DH8
336,3H,\N,YUD,5515,YSK,5529,,DH8
337,3H,\N,YUL,146,YGL,62,,73M
338,3H,\N,YUL,146,YGW,5496,,DH8
339,3H,\N,YUL,146,YQB,111,,DH8
340,3H,\N,YUL,146,YUY,149,,DH8
341,3H,\N,YUY,149,YGW,5496,,DH8
342,3H,\N,YUY,149,YUL,146,,DH8
343,3H,\N,YVP,154,XGR,5512,,DHT BET
344,3H,\N,YVP,154,YGW,5496,,BET
345,3H,\N,YVP,154,YKG,5481,,DH8
346,3H,\N,YVP,154,YKL,80,,DH8 BET
347,3H,\N,YVP,154,YPH,5520,,BET
348,3H,\N,YVP,154,YPJ,5508,,DHT
349,3H,\N,YVP,154,YPX,6727,,BET
350,3H,\N,YVP,154,YTQ,6728,,DHT DH8
351,3H,\N,YWB,7253,YQC,5499,,DH8
352,3H,\N,YWB,7253,YZG,5535,,DH8
353,3H,\N,YWK,161,YKL,80,,BET
354,3H,\N,YWK,161,YZV,202,,BET
355,3H,\N,YZG,5535,YIK,5504,,DH8
356,3H,\N,YZG,5535,YWB,7253,,DH8
357,3H,\N,YZV,202,YKL,80,,BET DH8
358,3H,\N,YZV,202,YWK,161,,BET
359,3J,5521,JIB,4119,DXB,2188,,737
360,3J,5521,JIB,4119,JED,2072,,737
361,3J,5521,JIB,4119,MGQ,5687,,737
362,3J,5521,MGQ,5687,NBO,4059,,737
363,3J,5521,NBO,4059,MGQ,5687,,737
364,3K,3021,BKK,3885,SIN,3316,,320
365,3K,3021,DRW,3999,SIN,3316,,320
366,3K,3021,HAK,4120,SIN,3316,,320
367,3K,3021,HGH,3386,SIN,3316,,320
368,3K,3021,HKG,3077,SIN,3316,,320
369,3K,3021,HKT,3179,SIN,3316,,320
370,3K,3021,KIX,3992,MNL,2397,,320
371,3K,3021,KIX,3992,TPE,2276,,320
372,3K,3021,KUL,3304,SIN,3316,,320
373,3K,3021,MNL,2397,KIX,3992,,320
374,3K,3021,MNL,2397,SIN,3316,,320
375,3K,3021,PEN,3308,SIN,3316,,320
376,3K,3021,PER,3351,SIN,3316,,320
377,3K,3021,PNH,3034,SIN,3316,,320
378,3K,3021,REP,3035,SIN,3316,,320
379,3K,3021,RGN,3239,SIN,3316,,320
380,3K,3021,SGN,3205,SIN,3316,,320
381,3K,3021,SIN,3316,BKK,3885,,320
382,3K,3021,SIN,3316,DRW,3999,,320
383,3K,3021,SIN,3316,HAK,4120,,320
384,3K,3021,SIN,3316,HGH,3386,,320
385,3K,3021,SIN,3316,HKG,3077,,320
386,3K,3021,SIN,3316,HKT,3179,,320
387,3K,3021,SIN,3316,KUL,3304,,320
388,3K,3021,SIN,3316,MNL,2397,,320
389,3K,3021,SIN,3316,PEN,3308,,320
390,3K,3021,SIN,3316,PER,3351,,320
391,3K,3021,SIN,3316,PNH,3034,,320
392,3K,3021,SIN,3316,REP,3035,,320
393,3K,3021,SIN,3316,RGN,3239,,320
394,3K,3021,SIN,3316,SGN,3205,,320
395,3K,3021,SIN,3316,SWA,4302,,320
396,3K,3021,SIN,3316,TPE,2276,,320
397,3K,3021,SWA,4302,SIN,3316,,320
398,3K,3021,TPE,2276,KIX,3992,,320
399,3K,3021,TPE,2276,SIN,3316,,320
400,3L,2916,ACH,1679,EBA,1558,,DH3
401,3L,2916,DRS,338,ZRH,1678,,DH3
402,3L,2916,DUS,345,FDH,382,,DH3
403,3L,2916,EBA,1558,ACH,1679,,DH3
404,3L,2916,EBA,1558,FDH,382,,DH3
405,3L,2916,EBA,1558,MUC,346,,DH3
406,3L,2916,EBA,1558,ZRH,1678,,DH3
407,3L,2916,FDH,382,DUS,345,,DH3
408,3L,2916,FDH,382,EBA,1558,,DH3
409,3L,2916,FDH,382,HAM,342,,AT7
410,3L,2916,FDH,382,OLB,1520,,AT7
411,3L,2916,FDH,382,TXL,351,,AT7
412,3L,2916,FDH,382,ZAD,1209,,AT7
413,3L,2916,FMM,3986,NAP,1561,,AT7
414,3L,2916,GRZ,1609,ZRH,1678,,DH3
415,3L,2916,HAM,342,FDH,382,,AT7
416,3L,2916,MUC,346,EBA,1558,,DH3
417,3L,2916,NAP,1561,FMM,3986,,AT7
418,3L,2916,OLB,1520,FDH,382,,AT7
419,3L,2916,SZG,1612,ZRH,1678,,DH3
420,3L,2916,TXL,351,FDH,382,,AT7
421,3L,2916,ZAD,1209,FDH,382,,AT7
422,3L,2916,ZRH,1678,DRS,338,,DH3
423,3L,2916,ZRH,1678,EBA,1558,,DH3
424,3L,2916,ZRH,1678,GRZ,1609,,DH3
425,3L,2916,ZRH,1678,SZG,1612,,DH3
426,3M,20710,ATL,3682,LWB,6958,,SF3
427,3M,20710,ATL,3682,MCN,3754,,SF3
428,3M,20710,ATL,3682,MEI,4335,,SF3
429,3M,20710,ATL,3682,MSL,5756,,SF3
430,3M,20710,ATL,3682,PIB,5759,,SF3
431,3M,20710,ATL,3682,TUP,5773,,SF3
432,3M,20710,BIM,1937,FLL,3533,,SF3
433,3M,20710,ELH,1943,FLL,3533,,SF3
434,3M,20710,ELH,1943,PBI,3722,,SF3
435,3M,20710,EYW,3875,FLL,3533,,SF3
436,3M,20710,EYW,3875,RSW,3793,,SF3
437,3M,20710,EYW,3875,TPA,3646,,SF3
438,3M,20710,FLL,3533,BIM,1937,,SF3
439,3M,20710,FLL,3533,ELH,1943,,SF3
440,3M,20710,FLL,3533,EYW,3875,,SF3
441,3M,20710,FLL,3533,FPO,1948,,SF3
442,3M,20710,FLL,3533,GGT,1941,,SF3
443,3M,20710,FLL,3533,GHB,1944,,SF3
444,3M,20710,FLL,3533,MCO,3878,,SF3
445,3M,20710,FLL,3533,MHH,1930,,SF3
446,3M,20710,FLL,3533,TCB,1934,,SF3
447,3M,20710,FLL,3533,TPA,3646,,SF3
448,3M,20710,FPO,1948,FLL,3533,,SF3
449,3M,20710,GGT,1941,FLL,3533,,SF3
450,3M,20710,GGT,1941,GHB,1944,,SF3
451,3M,20710,GHB,1944,FLL,3533,,SF3
452,3M,20710,GLH,6130,TUP,5773,,SF3
453,3M,20710,GNV,3472,MCO,3878,,SF3
454,3M,20710,GNV,3472,TPA,3646,,SF3
455,3M,20710,JAX,3712,MHH,1930,,SF3
456,3M,20710,JAX,3712,TPA,3646,,SF3
457,3M,20710,LWB,6958,ATL,3682,,SF3
458,3M,20710,MCN,3754,ATL,3682,,SF3
459,3M,20710,MCN,3754,MCO,3878,,SF3
460,3M,20710,MCO,3878,FLL,3533,,SF3
461,3M,20710,MCO,3878,GNV,3472,,SF3
462,3M,20710,MCO,3878,MCN,3754,,SF3
463,3M,20710,MCO,3878,MHH,1930,,SF3
464,3M,20710,MCO,3878,PNS,3564,,SF3
465,3M,20710,MCO,3878,RSW,3793,,SF3
466,3M,20710,MCO,3878,TLH,3698,,SF3
467,3M,20710,MEI,4335,ATL,3682,,SF3
468,3M,20710,MHH,1930,FLL,3533,,SF3
469,3M,20710,MHH,1930,JAX,3712,,SF3
470,3M,20710,MHH,1930,MCO,3878,,SF3
471,3M,20710,MHH,1930,PBI,3722,,SF3
472,3M,20710,MSL,5756,ATL,3682,,SF3
473,3M,20710,PBI,3722,ELH,1943,,SF3
474,3M,20710,PBI,3722,MHH,1930,,SF3
475,3M,20710,PBI,3722,TPA,3646,,SF3
476,3M,20710,PIB,5759,ATL,3682,,SF3 
477,3M,20710,PNS,3564,MCO,3878,,SF3
478,3M,20710,PNS,3564,TPA,3646,,SF3
479,3M,20710,RSW,3793,EYW,3875,,SF3
480,3M,20710,RSW,3793,MCO,3878,,SF3
481,3M,20710,TCB,1934,FLL,3533,,SF3
482,3M,20710,TLH,3698,MCO,3878,,SF3
483,3M,20710,TLH,3698,TPA,3646,,SF3
484,3M,20710,TPA,3646,EYW,3875,,SF3
485,3M,20710,TPA,3646,FLL,3533,,SF3
486,3M,20710,TPA,3646,GNV,3472,,SF3
487,3M,20710,TPA,3646,JAX,3712,,SF3
488,3M,20710,TPA,3646,PBI,3722,,SF3
489,3M,20710,TPA,3646,PNS,3564,,SF3
490,3M,20710,TPA,3646,TLH,3698,,SF3
491,3M,20710,TUP,5773,ATL,3682,,SF3 
492,3M,20710,TUP,5773,GLH,6130,,SF3
493,3O,9818,AMS,580,NDR,5673,,320
494,3O,9818,AMS,580,TNG,1080,,320
495,3O,9818,BCN,1218,CMN,1074,,320
496,3O,9818,BCN,1218,NDR,5673,,320
497,3O,9818,BCN,1218,TNG,1080,,320
498,3O,9818,BGY,1525,CMN,1074,,320
499,3O,9818,BLQ,1538,CMN,1074,,320
500,3O,9818,BRU,302,CMN,1074,,320
501,3O,9818,BRU,302,NDR,5673,,320
502,3O,9818,BRU,302,TNG,1080,,320
503,3O,9818,CGN,344,NDR,5673,,320
504,3O,9818,CMN,1074,BCN,1218,,320
505,3O,9818,CMN,1074,BGY,1525,,320
506,3O,9818,CMN,1074,BLQ,1538,,320
507,3O,9818,CMN,1074,BRU,302,,320
508,3O,9818,CMN,1074,CUF,1534,,320
509,3O,9818,CMN,1074,LGW,502,,320
510,3O,9818,CMN,1074,LYS,1335,,320
511,3O,9818,CMN,1074,MPL,1359,,320
512,3O,9818,CMN,1074,SAW,4317,,320
513,3O,9818,CMN,1074,TLS,1273,,320
514,3O,9818,CMN,1074,TSF,1539,,320
515,3O,9818,CUF,1534,CMN,1074,,320
516,3O,9818,FEZ,1066,MPL,1359,,320
517,3O,9818,LGW,502,CMN,1074,,320
518,3O,9818,LGW,502,TNG,1080,,320
519,3O,9818,LYS,1335,CMN,1074,,320
520,3O,9818,MPL,1359,CMN,1074,,320
521,3O,9818,MPL,1359,FEZ,1066,,320
522,3O,9818,MPL,1359,NDR,5673,,320
523,3O,9818,NDR,5673,AMS,580,,320
524,3O,9818,NDR,5673,BCN,1218,,320
525,3O,9818,NDR,5673,BRU,302,,320
526,3O,9818,NDR,5673,CGN,344,,320
527,3O,9818,NDR,5673,MPL,1359,,320
528,3O,9818,NDR,5673,PMI,3998,,320
529,3O,9818,PMI,3998,NDR,5673,,320
530,3O,9818,SAW,4317,CMN,1074,,320
531,3O,9818,TLS,1273,CMN,1074,,320
532,3O,9818,TNG,1080,AMS,580,,320
533,3O,9818,TNG,1080,BCN,1218,,320
534,3O,9818,TNG,1080,BRU,302,,320
535,3O,9818,TNG,1080,LGW,502,,320
